"SlNo","Asset Tag"
"180686","HSS-8060489"
"288332","HSS-8099365"
"248243","HSS-1048143"
"288180","HSS-8099528"
"288403","HSS-8099539"
"288416","HSS-8099744"
"235210","HSS-8086980"
"288152","HSS-8099362"
"288193","HSS-8099536"
"75252","HSS-8061482"
"288405","HSS-8099360"
"288528","HSS-8099547"
"288496","HSS-8099358"
"288407","HSS-8099950"
"166889","HSS-8061456"
"164370","HSS-8061461"
"288361","HSS-8099513"
"288341","HSS-8099339"
"288267","HSS-8099361"
"288597","HSS-8099340"
"288112","HSS-8099337"
"35108","HSS-8060930"
"87370","HSS-8060493"
"288138","HSS-8099537"
"182935","HSS-8061914"
"288128","HSS-8099526"
"288146","HSS-8099956"
"249735","HSS-8091762"
"288563","HSS-8099518"
"248218","HSS-8090598"
"288560","HSS-8099970"
"110810","HSS-8073296"
"288092","HSS-8099745"
"249845","HSS-8091133"
"288312","HSS-8099933"
"288441","HSS-8099937"
"288236","HSS-8099932"
"288531","HSS-8099546"
"86234","HSS-8062125"
"132107","HSS-8061010"
"288219","HSS-8099357"
"288265","HSS-8099934"
"184304","HSS-8060560"
"288251","HSS-8099519"
"288390","HSS-8099338"
"288258","HSS-8099527"
"192356","HSS-8081135"
"150321","HSS-8060591"
"136408","HSS-8061195"
"11960","HSS-8083328"
"288516","HSS-8099571"
"191522","HSS-8081165"
"233170","HSS-8094508"
"233192","HSS-8094477"
"256436","HSS-8092935"
"251694","HSS-1049937"
"230701","HSS-8084321"
"138720","HSS-8083312"
"93034","HSS-8070943"
"130986","HSS-8076110"
"195877","HSS-8081083"
"95609","HSS-8069510"
"94750","HSS-8070942"
"29377","HSS-8067570"
"175968","HSS-8070095"
"205341","HSS-8081095"
"46708","HSS-8072771"
"135792","HSS-8059994"
"238449","HSS-1998312"
"7596","HSS-8058023"
"147571","HSS-8083345"
"203943","HSS-1992500"
"161449","HSS-8059997"
"188194","HSS-8059991"
"117592","HSS-8081120"
"59562","HSS-8069359"
"238383","HSS-1998277"
"67999","HSS-8059998"
"807","HSS-8074469"
"260671","HSS-8092096"
"270622","HSS-8097057"
"238437","HSS-1998301"
"238439","HSS-1998304"
"203030","HSS-8081114"
"36000","HSS-8059917"
"238461","HSS-1998322"
"27300","HSS-8069518"
"190585","HSS-8081086"
"270812","HSS-8097056"
"238369","HSS-1998268"
"237344","HSS-8087204"
"250711","HSS-1048332"
"241739","HSS-8087211"
"146629","HSS-8083321"
"253905","HSS-8092015"
"95464","HSS-8060596"
"238416","HSS-1998262"
"247742","HSS-8089789"
"250725","HSS-1048451"
"240602","HSS-8086795"
"245534","HSS-8089141"
"247767","HSS-8089793"
"238373","HSS-1998263"
"244773","HSS-8090274"
"8427","HSS-1039100"
"282171","HSS-8097581"
"249854","HSS-1049140"
"254079","HSS-1049284"
"226691","HSS-8084842"
"14072","HSS-1038998"
"41915","HSS-8081136"
"94837","HSS-8069582"
"155819","HSS-8081150"
"282088","HSS-8097390"
"240271","HSS-1046278"
"244765","HSS-8090272"
"233212","HSS-8094475"
"238413","HSS-1998253"
"256259","HSS-8091594"
"35524","HSS-8081157"
"95715","HSS-8081159"
"256257","HSS-8091596"
"238390","HSS-1998284"
"37117","HSS-8081149"
"256258","HSS-8091597"
"244741","HSS-8090269"
"256260","HSS-8091591"
"192959","HSS-8060590"
"244772","HSS-8090270"
"313845","HSS-8091574"
"256261","HSS-8091590"
"244771","HSS-8090275"
"230060","HSS-8083327"
"67252","HSS-8081142"
"195435","HSS-8075154"
"35263","HSS-8072768"
"247062","HSS-8089393"
"61542","HSS-8060272"
"184940","HSS-8081166"
"6597","HSS-8074634"
"66272","HSS-8072767"
"283021","HSS-8097052"
"103770","HSS-8014488"
"98350","HSS-8069378"
"170370","HSS-8060264"
"187504","HSS-8069513"
"203529","HSS-8083357"
"60154","HSS-8076124"
"78092","HSS-8076120"
"179284","HSS-8072772"
"247750","HSS-8089797"
"257514","HSS-1111404"
"265791","HSS-1110349"
"233353","HSS-8084320"
"148870","HSS-1974940"
"8871","HSS-8078311"
"36859","HSS-8083349"
"18640","HSS-8081104"
"144446","HSS-8078310"
"173325","HSS-8067568"
"162497","HSS-1974939"
"288192","HSS-8099599"
"288088","HSS-8099614"
"288302","HSS-8099610"
"288472","HSS-8099586"
"119430","HSS-1992516"
"237225","HSS-8087202"
"136423","HSS-8058015"
"117324","HSS-1992534"
"71200","HSS-8077577"
"277813","HSS-8096593"
"183767","HSS-1992532"
"236461","HSS-8087243"
"35187","HSS-8067564"
"8581","HSS-8066361"
"174354","HSS-8058492"
"283048","HSS-8099826"
"254221","HSS-8092393"
"165580","HSS-1044272"
"235345","HSS-8093464"
"100333","HSS-8072761"
"34254","HSS-1992409"
"36444","HSS-8070936"
"238440","HSS-1998307"
"139944","HSS-8060588"
"79157","HSS-1988123"
"176461","HSS-1992403"
"233196","HSS-8094507"
"73138","HSS-8069520"
"82843","HSS-8069507"
"283147","HSS-8099828"
"102898","HSS-8081175"
"199035","HSS-8081171"
"327","HSS-8058020"
"15279","HSS-8078316"
"93237","HSS-8076199"
"114001","HSS-8081425"
"244141","HSS-8088844"
"249462","HSS-8090886"
"247067","HSS-8089656"
